CPX-28	P76052 P77357
CPX-180	P23873 P23874
CPX-243	P0AFC3 P0AFC7 P0AFD1 P0AFD4 P0AFD6 P0AFE0 P0AFE4 P0AFE8 P0AFF0 P31979 P33599 P33602 P33607
CPX-268	P0ABJ9 P0ABK2 P56100
CPX-269	P26458 P26459
CPX-281	P0AAM1 P0ACD8 P69739
CPX-282	P0AAJ8 P0ACE0 P37180 P69741
CPX-317	P07658 P0AAK1 P16429 P16430 P16431 P16432 P16433
CPX-319	P33225 P33226
CPX-320	P18775 P18776 P18777
CPX-403	P05055 P0A6P9 P0A8J8 P21513
CPX-996	P45956 Q46896
CPX-1005	P76632 Q46897 Q46898 Q46899 Q46901
CPX-1075	P00452 P69924
CPX-1077	P07363 P0AE67
CPX-1079	Q47149 Q47150
CPX-1081	P0C077 P0C079
CPX-1082	P06974 P0ABZ1 P0AE67 P15070
CPX-1083	P02929 P06129 P0ABU7 P0ABV2
CPX-1084	Q46864 Q46865
CPX-1085	P06974 P0ABZ1 P15070
CPX-1086	P0AE70 P0AE72
CPX-1087	P69346 P69348
CPX-1088	P0A9H9 P0AE67
CPX-1090	P22523 P22524 P60293
CPX-1092	P0A836 P0AGE9
CPX-1093	P0ADC1 P31554
CPX-1094	P05852 P0AF67 P76256
CPX-1095	P0ADZ7 P0AG90 P0AG93 P0AG96 P0AG99 P0AGA2 P25714
CPX-1096	P0AG96 P0AG99 P0AGA2
CPX-1104	P0AFI2 P20083
CPX-3445	P0A843 P69423 P69425 P69428
CPX-3446	P0A877 P0A879
CPX-3447	P0ABL3 P33937
CPX-3464	P63386 P64602 P64604 P64606
CPX-3564	P03959 P03960 P03961 P36937
CPX-3568	P0ABL8 P0ABM1 P0ABM5 P33931 P69490
CPX-3569	P0ABM9 P33927
CPX-3570	P0ADG1 P0DP90
CPX-3573	P08142 P0ADF8
CPX-3575	P00893 P00894
CPX-3576	P02929 P0ABU7 P0ABV2 P13036
CPX-3577	P02929 P0ABU7 P0ABV2 P17315
CPX-3578	P02929 P05825 P0ABU7 P0ABV2
CPX-3579	P02929 P0ABU7 P0ABV2 P16869
CPX-3580	P02929 P0ABU7 P0ABV2 P75780
CPX-3585	P02929 P0ABU7 P0ABV2 P76115
CPX-3742	P0A9D4 P0ABK5
CPX-3743	P69432 P75905
CPX-3802	P02358 P02359 P0A7R5 P0A7R9 P0A7S3 P0A7S9 P0A7T3 P0A7T7 P0A7U3 P0A7U7 P0A7V0 P0A7V3 P0A7V8 P0A7W1 P0A7W7 P0A7X3 P0ADZ4 P0AG59 P0AG63 P0AG67 P68679
CPX-3807	P02413 P0A7J3 P0A7J7 P0A7K2 P0A7K6 P0A7L0 P0A7L3 P0A7L8 P0A7M2 P0A7M6 P0A7M9 P0A7N1 P0A7N4 P0A7N9 P0A7P5 P0A7Q1 P0A7Q6 P0A7R1 P0AA10 P0ADY3 P0ADY7 P0ADZ0 P0AG44 P0AG48 P0AG51 P0AG55 P0C018 P60422 P60438 P60624 P60723 P61175 P62399 P68919
CPX-3821	P0A9N8 P28903
CPX-3861	P0A9V1 P0ADC6 P0AF98
CPX-3921	P0A9P0 P0AFG3 P0AFG6
CPX-3943	P06959 P0A9P0 P0AFG8
CPX-3949	P0A6T9 P0A9P0 P27248 P33195
CPX-3964	P21151 P21177
CPX-3966	P76503 P77399
CPX-3982	P0AA89 P76129
CPX-4005	P04994 P0A8G9
CPX-4021	P0AG76 P13458
CPX-4022	P0A6E6 P0AB98 P0ABA0 P0ABA4 P0ABA6 P0ABB0 P0ABB4 P68699
CPX-4063	P08365 P33647
CPX-4102	P15373 P64594
CPX-4115	P52129 P52130
CPX-4119	P67697 P76106
CPX-4121	P64578 P67701
CPX-4262	P0ADC3 P75957 P75958
CPX-4263	P02930 P0AE06 P31224
CPX-4264	P02930 P0AE06 P24177
CPX-4265	P02930 P24180 P24181
CPX-4268	P02930 P0AEJ0 P27303
CPX-2119	P02930 P76397 P76398 P76399
