CPX-15	P32797 P38960 Q07921
CPX-21	P22336 P26754 P26755
CPX-23	P32605 P33203 P39682 P40018 P40204 P43321 P53207 P54999 Q00539 Q00916 Q02260 Q03776 Q03782 Q05900 Q06217 Q07508 Q12330
CPX-24	P38203 P40070 P40089 P47093 P49960 P53905 P57743 Q06406
CPX-25	P19735 P20053 P23394 P32639 P33334 P36048 P38203 P38282 P39990 P40018 P40070 P40089 P40204 P43321 P43589 P47093 P49704 P53905 P54999 P57743 Q00723 Q02260 Q03338 Q06217 Q06406 Q06819 Q12330 Q12368 Q12420
CPX-26	P0C074 P19736 P32524 P40018 P40204 P40565 P40567 P43321 P46947 P49955 P53830 P54999 Q02260 Q02554 Q04693 Q06217 Q06835 Q07350 Q07930 Q08963 Q12330 Q99181
CPX-29	P19735 P23394 P32639 P33334 P36048 P38852 P40018 P40204 P43321 P54999 Q02260 Q06217 Q06819 Q12330
CPX-30	P32357 P33334 P36048 P40018 P40204 P43321 P54999 Q02260 Q06217 Q12330
CPX-31	P20053 P39990 P40018 P40204 P43321 P54999 Q02260 Q03338 Q06217 Q12330
CPX-32	P20053 P38203 P39990 P40018 P40070 P40089 P40204 P43321 P47093 P49704 P53905 P54999 P57743 Q02260 Q03338 Q06217 Q06406 Q12330
CPX-36	P27637 P38853 P50090
CPX-43	P40018 P40204 P43321 P54999 Q02260 Q06217 Q12330
CPX-44	P38203 P40070 P40089 P47093 P53905 P57743 Q06406
CPX-45	P38203 P40070 P40089 P47017 P53905 P57743 Q06406
CPX-46	P38203 P40070 P40089 P53905 P57743 Q06406
CPX-112	P25644 P38203 P40070 P40089 P47017 P53905 P57743 Q06406
CPX-124	P32479 P32480 P47171 Q01448
CPX-140	P36112 P38341 P43594 P50087 P50945 Q96VH5
CPX-154	P26449 P41695
CPX-161	P32266 P38297 Q03327
CPX-162	P35196 Q12063
CPX-166	Q03175 Q12063
CPX-231	P06782 P12904 Q04739
CPX-232	P06782 P12904 P32578
CPX-242	Q06132 Q12099
CPX-297	P24279 P29469 P29496 P30665 P38132 P40359 P53091 Q03406 Q08032 Q12146 Q12488
CPX-301	P25569 P38263 P40208 P40492 P40547 P53076 Q12508
CPX-302	P38857 P53157
CPX-303	P53157 P53311
CPX-307	P25574 P36039 P40540 P47133 P53073 Q12431
CPX-325	P38149 P53871
CPX-335	P00546 P24868
CPX-336	P00546 P24870
CPX-337	P00546 P24871
CPX-339	P00546 P32943
CPX-342	P00546 P20438 P20486
CPX-361	P43601 P53855
CPX-384	P07253 P21560
CPX-385	P40558 P52920
CPX-386	P36152 Q12181
CPX-393	P36024 P36076 Q08438
CPX-396	P36076 P40506 P53332 Q03941
CPX-397	Q06410 Q12092 Q12421
CPX-416	P33893 P53260 Q03557
CPX-417	P38138 Q04924
CPX-418	P53738 Q03920
CPX-422	P38251 P38629 P40339 P40348 Q12050
CPX-425	P02994 P32471 P36008
CPX-426	P32521 P32790 P39013
CPX-427	P09064 P20459 P32481
CPX-429	P09032 P12754 P14741 P32501 P32502
CPX-430	P07260 P10081 P39935
CPX-431	P07260 P10081 P39936
CPX-435	P05453 P12385
CPX-465	P32769 P33309
CPX-473	P23644 P33448 P49334 P53507 P80967
