A5A616	mgtS	b4599	Small protein MgtS
O32583	thiS	b4407	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)
P00350	gnd	b2029	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)
P00363	frdA	b4154	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)
P00370	gdhA	b1761	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
P00393	ndh	b1109	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)
P00448	sodA	b3908	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)
P00452	nrdA	b2234	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)
P00490	malP	b3417	Maltodextrin phosphorylase (EC 2.4.1.1)
P00509	aspC	b0928	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)
P00550	mtlA	b3599	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)]
P00561	thrA	b0002	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]
P00562	metL	b3940	Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]
P00579	rpoD	b3067	RNA polymerase sigma factor RpoD (Sigma-70)
P00582	polA	b3863	DNA polymerase I (POL I) (EC 2.7.7.7)
P00634	phoA	b0383	Alkaline phosphatase (APase) (EC 3.1.3.1)
P00722	lacZ	b0344	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)
P00803	lepB	b2568	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)
P00804	lspA	b0027	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)
P00805	ansB	b2957	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)
P00811	ampC	b4150	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase) (CSase)
P00861	lysA	b2838	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)
P00864	ppc	b3956	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)
P00893	ilvI	b0077	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)
P00894	ilvH	b0078	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)
P00903	pabA	b3360	Aminodeoxychorismate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)
P00904	trpGD	b1263	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]
P00914	phrB	b0708	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)
P00926	dsdA	b2366	D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD)
P00935	metB	b3939	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)
P00936	cyaA	b3806	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)
P00946	manA	b1613	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)
P00956	ileS	b0026	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)
P00957	alaS	b2697	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase) (EC 6.-.-.-)
P00959	metG	b2114	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)
P00962	glnS	b0680	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)
P00963	asnA	b3744	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)
P00968	carB	b0033	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)
P02358	rpsF	b4200	Small ribosomal subunit protein bS6 (30S ribosomal protein S6) [Cleaved into: Small ribosomal subunit protein bS6, fully modified isoform; Small ribosomal subunit protein bS6, non-modified isoform]
P02359	rpsG	b3341	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)
P02916	malF	b4033	Maltose/maltodextrin transport system permease protein MalF
P02918	mrcA	b3396	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]
P02919	mrcB	b0149	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]
P02920	lacY	b0343	Lactose permease (Lactose-proton symport)
